"Borough","Count","blackPercent","asianPercent","whitePercent","hispanicPercent","nativePercent"
"Bronx",6216,60.8429858429858,0.595238095238095,1.54440154440154,36.7117117117117,0.0804375804375804
"Brooklyn",8768,84.2039233576642,1.20894160583942,2.20118613138686,12.1350364963504,0.0228102189781022
"Manhattan",2629,63.6363636363636,1.14111829593001,2.43438569798402,32.5599087105363,0.0380372765310004
"Queens",3168,73.6111111111111,3.78787878787879,3.75631313131313,18.5606060606061,0
"Staten Island",619,72.3747980613893,0.323101777059774,10.9854604200323,15.9935379644588,0
