"Borough","victimRatio","popRatio","totalShootings"
"Bronx",13.5845070422535,0.868253367169745,6213
"Brooklyn",11.8693098384728,0.882351137325148,8764
"Manhattan",10.7892376681614,0.906505001486992,2629
"Queens",11.672,0.853849668608021,3168
"Staten Island",10.462962962963,0.883678560374126,619
